candidate_id,display_name,year,primary_doi,primary_url,selection_role,artifact_status,formal_status,notes
polimi_2023,POLIMI/Stagni,2023,10.1016/j.cej.2023.144577,https://www.creckmodeling.polimi.it/kinetics-mechanisms/nh3-version-2302-february-2023/,wide-temperature and reactive-nitrogen,downloaded_and_audited,provisional_include,Official 31-species distribution; clean Cantera load.
c3_v3_5_c0,C3-v3.5_C0,2023,10.1016/j.jaecs.2021.100043,https://chemistry.cerfacs.fr/en/c3-v3-5_c0-mechanism/,multi-institution C0 ammonia baseline,downloaded_audited_and_validated,provisional_include,"Official CERFACS C0 extraction of C3-v3.5; the web record attributes C3 to CRECK, ITV, NUI Galway and LLNL and cites C3MechV3.3. YAML SHA256 56F2F2F7BC3E16CE2DE9FB860FB5B686223560357C8B255651B274D11AE4797F; Cantera audit gives 32 species and 233 reactions; IDT 46/46, JSR 48/48 conditions and LBV 80/80 completed."
mei_2019,Mei ammonia flame mechanism,2019,10.1016/j.combustflame.2019.08.033,https://chemistry.cerfacs.fr/en/mei_2019-mechanism/,NH3 flame propagation and elevated-pressure LBV,downloaded_audited_and_validated,provisional_include,"Official CERFACS YAML; SHA256 691344435FC589CA3594821EFE80C51E3B873285E9D337EAB2E205E481031C1F; Cantera audit gives 38 species and 265 reactions; IDT 46/46, JSR 48/48 conditions, and LBV 80/80 completed."
nuig_2023,Zhu/NUIG,2024,10.1016/j.combustflame.2023.113239,https://doi.org/10.1016/j.combustflame.2023.113239,recent high-performing comprehensive model,downloaded_converted_audited_and_validated,provisional_include,"Official ScienceDirect supplement; 43 species and 312 reactions; clean Cantera audit after comment-only UTF-8 recoding; IDT 46/46, JSR 48/48 conditions and LBV 80/80 completed. This is distinct from NUIGMech1.1."
kaust_2023,Zhang/KAUST,2023,10.1016/j.fuel.2023.127676,https://repository.kaust.edu.sa/handle/10754/688039,recent high-performing NOx/C1 model,downloaded_converted_audited_and_validated,provisional_include_0d_jsr_only,"Official KAUST/ScienceDirect archive SHA256 5D40BD7C78F4C04762C89C9A65184E291947E2764F7EC6259E4FC77DD28029E8; complete C1 model has 152 species and 1388 reactions; thermo and explicit-third-body warnings retained; IDT 46/46 and JSR 48/48 conditions completed. The first formal LBV case exceeded 900 s and about 0.58 GB, so it is excluded from the 1D ensemble on computational-feasibility grounds. Development data are not treated as external tests."
mei_2021,Mei partial-cracking model,2021,10.1016/j.combustflame.2021.111472,https://doi.org/10.1016/j.combustflame.2021.111472,partial-cracking and elevated-pressure flames,downloaded_converted_audited_and_validated,provisional_include,"Official ScienceDirect supplement includes experiment workbook, mechanism, thermo and transport. Derived YAML changes only the invalid geometry field of the artificial FN2 collider, which is absent from all stoichiometric reactants/products. IDT 46/46, JSR 48/48 conditions and LBV 80/80 completed; the complete development study is excluded from the primary external LBV comparison."
gotama_2022,Gotama hydrogen-recovery model,2022,10.1016/j.combustflame.2021.111753,https://doi.org/10.1016/j.combustflame.2021.111753,rich NH3/H2 flame chemistry,pending_publisher_supplement,pending,Preserve the authors' exact released revision.
thomas_2023,Thomas/Shrestha,2023,10.1016/j.proci.2022.08.067,https://doi.org/10.1016/j.proci.2022.08.067,extinction and NO-oriented chemistry,pending_publisher_supplement,pending,Development extinction/NO campaign cannot be used as independent test data.
marshall_2023,Marshall/Glarborg,2023,10.1021/acs.jpca.3c05181,https://doi.org/10.1021/acs.jpca.3c05181,theory-informed NH2O chemistry,pending_acs_supplement,pending,Mechanism artifact and exact revision require verification.
otomo_2018,Otomo,2018,10.1016/j.ijhydene.2017.12.066,https://doi.org/10.1016/j.ijhydene.2017.12.066,classic detailed ammonia model,downloaded_converted_audited_and_validated,provisional_include,"Official ScienceDirect mechanism, thermo and transport from the same release; permissive conversion ignores two redundant thermo records; clean Cantera audit gives 32 species and 213 reactions; IDT 46/46, JSR 48/48 conditions and LBV 80/80 completed."
