record_id,year,title,doi,source_type,primary_use,apparatus,open_access,data_availability,mechanism_availability,inclusion_status,verification_status,notes
girhe2024,2024,Ammonia and ammonia/hydrogen combustion: Comprehensive quantitative assessment of kinetic models and examination of critical parameters,10.1016/j.combustflame.2024.113560,benchmark,novelty_and_baseline,multiple,true,paper_reports_extensive_database,pending,pending,doi_verified,Evaluates 16 models; direct precedent that rules out a simple mechanism-ranking paper.
han2019,2019,"Experimental and kinetic modeling study of laminar burning velocities of NH3/air, NH3/H2/air, NH3/CO/air and NH3/CH4/air premixed flames",10.1016/j.combustflame.2019.05.003,experiment,LBV,heat_flux_burner,false,paper_tables_or_digitization,pending,candidate,doi_verified,NH3/H2 subset is relevant; complete campaign must remain grouped.
pochet2020,2020,Experimental and numerical analysis of the autoignition behavior of NH3 and NH3/H2 mixtures at high pressure,10.1016/j.combustflame.2020.01.023,experiment,IDT,rapid_compression_machine,pending,volume_trace_and_numeric_data_to_verify,pending,candidate,doi_verified,20-75 bar and 1040-1210 K; simulation must use reported volume histories when available.
alzueta2021,2021,Study of the oxidation of ammonia in a flow reactor. Experiments and kinetic modeling simulation,10.1016/j.fuel.2021.120979,experiment,species,flow_reactor,true,paper_or_supplement_to_retrieve,pending,candidate,doi_verified,Pure NH3 contextual/species validation; relevance to cracked fuel must be bounded.
wang2022,2022,Experimental and numerical study of the laminar burning velocity of NH3/H2/air premixed flames at elevated pressure and temperature,10.1016/j.ijhydene.2022.08.198,experiment,LBV,constant_volume_spherical_flame,false,paper_tables_or_digitization,pending,candidate,doi_verified,298-493 K and 0.1-0.7 MPa; stretch correction must be audited.
stagni2023,2023,Low- and intermediate-temperature ammonia/hydrogen oxidation in a flow reactor: Experiments and a wide-range kinetic modeling,10.1016/j.cej.2023.144577,experiment_and_mechanism,species,flow_reactor,true,supplement_reported,supplement_reported,candidate,doi_verified,High-priority source because data and CHEMKIN mechanism are reported as supplementary material.
zhang2024flow,2024,"An experimental and kinetic modelling study on the oxidation of NH3, NH3/H2, NH3/CH4 in a variable pressure laminar flow reactor at engine-relevant conditions",10.1016/j.combustflame.2024.113513,experiment_and_mechanism,species,variable_pressure_flow_reactor,pending,supplement_to_verify,supplement_to_verify,candidate,doi_verified,NH3/H2 subset and elevated-pressure speciation are relevant.
liu2024fuel,2024,Experimental and chemical kinetic study for the combustion of ammonia-hydrogen mixtures,10.1016/j.fuel.2024.131850,experiment_and_mechanism,IDT_LBV_extinction,shock_tube_CVCC_counterflow,pending,supplement_to_verify,supplement_to_verify,candidate,doi_verified,Potential multi-observable campaign; development data cannot be external validation for its own mechanism.
wang2024idt,2024,A study on measuring ammonia-hydrogen IDTs and constructing an ammonia-hydrogen combustion mechanism at engine-relevant thermodynamic and fuel concentration conditions,10.1016/j.ijhydene.2024.07.406,experiment_and_mechanism,IDT,rapid_compression_machine,pending,supplement_to_verify,supplement_to_verify,candidate,doi_verified,Exact volume history and ignition definition required.
methling2025,2025,Experimental investigation and optimization of ammonia-hydrogen chemical kinetics with ignition delay times from shock tubes,10.1016/j.proci.2025.105835,experiment_and_mechanism,IDT,shock_tube,true,paper_and_repository_to_retrieve,pending,candidate,doi_verified,373 IDTs targeted in optimization; DLR and UCF campaigns must be separate groups.
