dataset_family,contents,local_location,access_route,target_repository,identifier,status,licence_action,manuscript_support
reused_experimental_source,"ReSpecTh NH3 v2.3 XML archive and source metadata",data/raw/respecth_nh3_v2_3,reused_public_source,"Original ReSpecTh repository",[OFFICIAL RESPECTH IDENTIFIER],blocking,"Confirm source licence and access date; do not relicense",Figs. 2-4 and validation
literature_evidence,"Search protocol, search log, evidence matrix and archived open papers/supplements",literature;data/raw/literature,mixed_reused_public_and_third_party,"Original sources plus generated-data record",[SOURCE DOI/URL AND DATASET DOI],pending,"Redistribute only files whose terms permit; otherwise retain citation metadata",Introduction and Supplementary S1
processed_validation_data,"5011 normalized records, campaign registry, coverage and quality flags",data/processed,public_repository,Zenodo,[DATASET DOI],pending,"Apply an open licence only to author-generated normalization and metadata",Figs. 2-5 and Supplementary S1-S2
mechanism_provenance,"Frozen registry, family groups, thermodynamic limits, checksums, audits and conversion logs",mechanisms;results/logs,public_repository,Zenodo,[DATASET DOI],pending,"Metadata open; include raw mechanism artifacts only where redistribution is licensed",All simulations and Supplementary S4
raw_simulation_outputs,"IDT, JSR, LBV, operating-map, PSR-PFR and direct-confirmation outputs including failures",results/raw;results/logs,public_repository,Zenodo,[DATASET DOI],pending,"Choose an open licence for author-generated outputs",Figs. 3-7 and Supplementary S5-S11
processed_statistics,"Held-out predictions, campaign-equal stacking, sampling sensitivity, residual intervals, domain audits, surrogate gates, standard-LHV outputs and screening robustness tables",results/processed,public_repository,Zenodo,[DATASET DOI],pending,"Choose an open licence for author-generated outputs",Figs. 3-7 and Supplementary Tables S5-S15/Figs. S5-S13
reaction_path_outputs,"960 ranked species-reaction contributions and 16 nitrogen-element DOT files",results/processed/reactor_path_analysis,public_repository,Zenodo,[DATASET DOI],pending,"Choose an open licence for author-generated outputs",Fig. S12 and Supplementary S12
figure_source_data,"Machine-readable CSV files underlying Figs. 1-7, Fig. S12 and graphical abstract",figures/source_data,public_repository,Zenodo,[DATASET DOI],pending,"Choose an open data licence",All reported figures
figure_exports,"SVG, PDF, 600 dpi TIFF and review PNG exports",figures;submission,public_repository,Zenodo,[DATASET DOI],pending,"Follow manuscript and repository figure licence",Figs. 1-7 Fig. S12 and graphical abstract
analysis_code,"Python package, analysis and figure scripts, and automated tests",src;scripts;tests,public_repository,"Public Git repository plus Zenodo release",[CODE DOI],pending,"Select an OSI-approved software licence",All computational results
environment,"Conda environment and Python package specifications",environment.yml;pyproject.toml,public_repository,Zenodo,[CODE DOI],pending,"Same software licence as code",Reproducibility
manuscript_and_supplement,"Working manuscript, Supplementary Information, claim-evidence map and submission materials",manuscript;submission,within_paper_supplement_and_repository,"Journal supplement plus Zenodo",[DATASET DOI / JOURNAL FILE],pending,"Follow journal and repository terms",Article and Supplementary Information
file_manifest,"Repository-relative paths, sizes, SHA-256 checksums and inclusion status",submission/repository_file_manifest.csv,public_repository,Zenodo,[DATASET DOI],ready,"Metadata may be openly licensed",Repository integrity
